X , Y , UTC
563.21 , 667.28 , 413073150.33
564.56 , 673.91 , 413073162.17
564.96 , 677.92 , 413073172.77
565.26 , 681.57 , 413073183.60
568.42 , 695.21 , 413073195.33
567.57 , 696.45 , 413073206.01
567.99 , 696.64 , 413073216.85
568.63 , 699.30 , 413073228.74
568.66 , 698.88 , 413073239.41
568.85 , 697.69 , 413073250.15
569.50 , 697.16 , 413073262.23
570.17 , 695.78 , 413073272.67
570.91 , 695.01 , 413073283.24
571.24 , 694.27 , 413073295.50
571.29 , 693.81 , 413073306.01
570.05 , 691.78 , 413073316.58
569.30 , 690.23 , 413073328.84
570.06 , 690.00 , 413073339.24
570.11 , 688.82 , 413073349.86
569.87 , 687.16 , 413073362.21
569.97 , 686.57 , 413073372.58
569.07 , 685.98 , 413073383.24
569.34 , 685.63 , 413073395.49
571.29 , 684.73 , 413073405.82
572.85 , 683.31 , 413073416.54
572.78 , 683.22 , 413073428.74
572.50 , 682.14 , 413073439.14
